timestamp,src_ip,dst_ip,protocol,attack_type,severity,confidence,status
2026-01-07 22:36:45,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 33546.4775, threshold: 5.7983)"
2026-01-07 22:36:45,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 33547.6185, threshold: 5.7983)"
2026-01-07 22:36:45,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 33547.0452, threshold: 5.7983)"
2026-01-07 22:36:45,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 33667.0871, threshold: 5.7983)"
2026-01-07 22:36:45,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 33667.0871, threshold: 5.7983)"
2026-01-07 22:37:08,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7573.3181, threshold: 5.7983)"
2026-01-07 22:37:08,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.3483, threshold: 5.7983)"
2026-01-07 22:37:08,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.3483, threshold: 5.7983)"
2026-01-07 22:37:08,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.3483, threshold: 5.7983)"
2026-01-07 22:37:08,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7575.5815, threshold: 5.7983)"
2026-01-07 22:37:31,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:33,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:33,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:38,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:38,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:39,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:39,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45900.2386, threshold: 5.7983)"
2026-01-07 22:37:39,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45899.6316, threshold: 5.7983)"
2026-01-07 22:37:39,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45900.2266, threshold: 5.7983)"
2026-01-07 22:37:39,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45942.6621, threshold: 5.7983)"
2026-01-07 22:37:39,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45899.6195, threshold: 5.7983)"
2026-01-07 22:37:39,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45899.6195, threshold: 5.7983)"
2026-01-07 22:37:39,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45900.4534, threshold: 5.7983)"
2026-01-07 22:37:42,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 45899.5799, threshold: 5.7983)"
2026-01-07 22:37:46,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:47,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:47,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:54,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:54,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 249.4167, threshold: 5.7983)"
2026-01-07 22:37:59,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.2116, threshold: 5.7983)"
2026-01-07 22:37:59,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.7100, threshold: 5.7983)"
2026-01-07 22:37:59,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.2116, threshold: 5.7983)"
2026-01-07 22:37:59,172.22.176.1,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 7570.7100, threshold: 5.7983)"
2026-01-07 22:38:07,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42125.3253, threshold: 5.7983)"
2026-01-07 22:38:07,185.125.190.57,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42124.5907, threshold: 5.7983)"
2026-01-07 22:38:35,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 33550.4075, threshold: 5.7983)"
2026-01-07 22:38:34,185.125.190.57,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 33549.6691, threshold: 5.7983)"
2026-01-07 22:38:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37452.7428, threshold: 5.7983)"
2026-01-07 22:38:34,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37452.1630, threshold: 5.7983)"
2026-01-07 22:38:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37452.7280, threshold: 5.7983)"
2026-01-07 22:38:34,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37504.7228, threshold: 5.7983)"
2026-01-07 22:38:34,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37452.1482, threshold: 5.7983)"
2026-01-07 22:38:34,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 37452.1482, threshold: 5.7983)"
